FrameID,Action,Mouse_position,execution_time
0000000110,Space,"(1605, 544)",1538255484.4755142
0000000110,Space,"(1605, 544)",1538255484.486485
0000000110,Space,"(1605, 544)",1538255484.4974554
0000000110,Space,"(1605, 544)",1538255484.5084262
0000000110,Space,"(1605, 544)",1538255484.5193968
0000000111,Space,"(1605, 544)",1538255484.5587974
0000000111,Space,"(1605, 544)",1538255484.5697687
0000000111,Space,"(1605, 544)",1538255484.5807383
0000000111,Space,"(1605, 544)",1538255484.5917091
0000000111,Space,"(1605, 544)",1538255484.6026797
0000000111,Space,"(1605, 544)",1538255484.6136508
0000000111,Space,"(1605, 544)",1538255484.6246214
0000000111,Space,"(1605, 544)",1538255484.635592
0000000111,Space,"(1605, 544)",1538255484.6460702
0000000111,Space,"(1605, 544)",1538255484.6570404
0000000111,Space,"(1605, 544)",1538255484.668011
0000000112,Space,"(1605, 544)",1538255484.7138882
0000000112,Space,"(1605, 544)",1538255484.7248595
0000000112,Space,"(1605, 544)",1538255484.7358296
0000000112,Space,"(1605, 544)",1538255484.7468007
0000000112,Space,"(1605, 544)",1538255484.7577717
0000000112,Space,"(1605, 544)",1538255484.7687416
0000000112,Space,"(1605, 544)",1538255484.7797124
0000000112,Space,"(1605, 544)",1538255484.7906835
0000000112,Space,"(1605, 544)",1538255484.8016543
0000000112,Space,"(1605, 544)",1538255484.8126252
0000000112,Space,"(1605, 544)",1538255484.823595
0000000113,Space,"(1605, 544)",1538255484.874459
0000000113,Space,"(1605, 544)",1538255484.88543
0000000113,Space,"(1605, 544)",1538255484.8964007
0000000113,Space,"(1605, 544)",1538255484.907371
0000000113,Space,"(1605, 544)",1538255484.9183416
0000000113,Space,"(1605, 544)",1538255484.929312
0000000113,Space,"(1605, 544)",1538255484.9402828
0000000113,Space,"(1605, 544)",1538255484.9512537
0000000113,Space,"(1605, 544)",1538255484.9622242
0000000113,Space,"(1605, 544)",1538255484.973195
0000000114,Space,"(1605, 544)",1538255485.0110936
0000000114,Space,"(1605, 544)",1538255485.0220647
0000000114,Space,"(1605, 544)",1538255485.033035
0000000114,Space,"(1605, 544)",1538255485.0440056
0000000114,Space,"(1605, 544)",1538255485.0549762
0000000114,Space,"(1605, 544)",1538255485.0659468
0000000114,Space,"(1605, 544)",1538255485.0769174
0000000114,Space,"(1605, 544)",1538255485.0878882
0000000114,Space,"(1605, 544)",1538255485.0988593
0000000114,Space,"(1605, 544)",1538255485.1098297
0000000114,Space,"(1605, 544)",1538255485.1208003
0000000114,Space,"(1605, 544)",1538255485.1317708
0000000115,Space,"(1605, 544)",1538255485.1686726
0000000115,Space,"(1605, 544)",1538255485.1796434
0000000115,Space,"(1605, 544)",1538255485.1906137
0000000115,Space,"(1605, 544)",1538255485.2015843
0000000115,Space,"(1605, 544)",1538255485.212555
0000000115,Space,"(1605, 544)",1538255485.223526
0000000115,Space,"(1605, 544)",1538255485.2344964
0000000115,Space,"(1605, 544)",1538255485.245467
0000000115,Space,"(1605, 544)",1538255485.2564373
0000000115,Space,"(1605, 544)",1538255485.2674084
0000000115,Space,"(1605, 544)",1538255485.278379
0000000116,Space,"(1605, 544)",1538255485.3192694
0000000116,Space,"(1605, 544)",1538255485.3302405
0000000116,Space,"(1605, 544)",1538255485.3412108
0000000116,Space,"(1605, 544)",1538255485.3516877
0000000116,Space,"(1605, 544)",1538255485.3626587
0000000116,Space,"(1605, 544)",1538255485.373629
0000000116,Space,"(1605, 544)",1538255485.3846
0000000116,Space,"(1605, 544)",1538255485.3955703
0000000116,Space,"(1605, 544)",1538255485.4065413
0000000116,Space,"(1605, 544)",1538255485.4175117
0000000116,Space,"(1605, 544)",1538255485.4284823
0000000117,Space,"(1605, 544)",1538255485.4623916
0000000117,Space,"(1605, 544)",1538255485.4733624
0000000117,Space,"(1605, 544)",1538255485.484333
